Country,Unnamed: 0,Unnamed: 0,CurrentRank,CurrentRank,LastRank,LastRank,Age,Age,Academicscorerscore,Academicscorerscore,Academicrankrank,Academicrankrank,Employerscore,Employerscore,Employerrank,Employerrank,FacultyStudentscore,FacultyStudentscore,FacultyStudentrank,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyscore,CitationsPerFacultyrank,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyscore,InternationalFacultyrank,InternationalFacultyrank,InternationalStudentscore,InternationalStudentscore,InternationalStudentrank,InternationalStudentrank,OverallScore,OverallScore,Latitude,Latitude,Longitude,Longitude,anno,anno,pca_1,pca_1,pca_2,pca_2
,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean
Germany,47,394.97872340425533,47,404.63829787234044,47,416.1914893617021,45,4.488888888888889,47,28.37872340425532,47,114.70212765957447,47,31.61702127659574,47,109.46808510638297,47,25.59999999999999,47,211.4255319148936,47,27.572340425531916,47,200.91489361702128,46,25.504347826086956,46,232.2608695652174,47,24.102127659574467,47,243.53191489361703,47,29.325531914893617,47,50.400209660531914,47,10.150154541723404,47,2018,47,0.536704679624213,47,-0.23289352589252046
Ghana,1,934.0,1,1000.0,1,701.0,1,4.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,5.64496823357302,1,-0.189774837344885,1,2018,1,-2.5813607619195618,1,0.1182588337765456
Greece,6,636.5,6,685.0,6,616.0,6,4.166666666666667,6,0.0,6,0.0,6,0.0,6,0.0,6,1.8833333333333335,6,66.83333333333333,6,10.616666666666667,6,22.666666666666668,6,0.26666666666666666,6,66.83333333333333,6,0.43333333333333335,6,66.83333333333333,6,5.05,6,38.25249678466667,6,5.871164766000002,6,2018,6,-1.8919346038153961,6,-0.06333524063247074
Hong Kong,7,158.14285714285714,7,163.57142857142858,7,171.57142857142858,7,3.4285714285714284,7,64.2,7,107.57142857142857,7,55.042857142857144,7,150.0,7,54.771428571428565,7,177.85714285714286,7,54.75714285714286,7,141.57142857142858,7,85.68571428571428,7,28.285714285714285,7,77.32857142857142,7,81.57142857142857,7,61.385714285714286,7,22.345013760842857,7,114.16628854542856,7,2018,7,3.6603095177854956,7,1.5585803179510533
Hungary,6,712.3333333333334,6,758.3333333333334,6,667.1666666666666,6,5.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,47.05401210966667,6,19.522193288999997,6,2018,6,-2.1529325529024432,6,-1.0070422655931743
India,21,589.5714285714286,21,639.8095238095239,21,636.3333333333334,21,4.190476190476191,21,12.704761904761902,21,69.47619047619048,21,15.057142857142857,21,64.80952380952381,21,8.466666666666667,21,145.28571428571428,21,26.576190476190476,21,48.285714285714285,20,1.0799999999999998,20,140.35,21,0.6428571428571428,21,152.76190476190476,21,15.185714285714287,21,21.864759941999996,21,80.11719084161903,21,2018,21,-1.1764309147259726,21,-0.1386983436812346
Indonesia,9,667.2222222222222,9,729.7777777777778,9,610.1111111111111,9,4.0,9,11.222222222222221,9,43.111111111111114,9,12.911111111111111,9,40.77777777777778,9,11.033333333333333,9,122.88888888888889,9,0.6666666666666666,9,133.66666666666666,9,15.633333333333333,9,107.44444444444444,9,1.2000000000000002,9,133.66666666666666,9,11.633333333333333,9,-7.1901417499999996,9,110.11317138888889,9,2018,9,-1.4886757309341683,9,0.18583140239653914
Iran,5,610.6,5,656.0,5,558.2,5,4.0,5,0.0,5,0.0,5,0.0,5,0.0,5,1.94,5,80.2,5,16.86,5,10.2,4,0.0,4,0.0,5,0.26,5,80.2,5,5.279999999999999,5,30.10734722122,5,65.45880302568,5,2018,5,-1.6909089645270836,5,0.15098784842956137
Iraq,2,590.5,2,600.0,2,675.5,2,3.5,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,19.4679005,2,69.858777,2,2018,2,-2.1586936682106352,2,0.6892440717044581
Ireland,8,385.75,8,396.625,8,392.0,8,4.25,8,26.949999999999996,8,169.0,8,34.675000000000004,8,134.0,8,24.0,8,215.25,8,23.575000000000003,8,190.5,8,57.1375,8,80.5,8,38.5,8,147.125,8,28.599999999999998,8,53.077350296875,8,-7.2142280625,8,2018,8,0.9063327444632935,8,0.32423494775058004
