CurrentRank,LastRank,Institution,Country,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,Latitude,Longitude,anno,pca_1,pca_2,color
42,50,THE UNIVERSITY OF SYDNEY,Australia,XL,FC,VH,5,A,97.2,25,97.0,24,24.9,570,72.7,88,100.0,42.0,99.8,29.0,78.3,-33.889192,151.189728,2019,5.569271898470314,0.6213777371119921,red
43,52,NEW YORK UNIVERSITY (NYU),United States,XL,FC,VH,5,B,95.6,31,91.3,46,97.3,50,23.7,498,28.4,463.0,90.9,101.0,77.7,40.861041,-73.88549,2019,4.902193895621405,-1.0225071809239352,red
44,40,FUDAN UNIVERSITY,China,XL,FC,VH,5,A,81.8,61,95.9,31,84.7,119,58.6,173,89.3,170.0,39.2,353.0,77.6,31.298891,121.502119,2019,5.082177800172766,-0.7468012370564187,red
45,45,THE UNIVERSITY OF NEW SOUTH WALES (UNSW),Australia,XL,FC,VH,4,A,90.4,37,96.7,26,23.8,592,81.6,58,100.0,37.0,97.4,60.0,77.0,-33.917295,151.231356,2019,5.385706378842596,1.2805184701631471,red
46,47,CARNEGIE MELLON UNIVERSITY,United States,L,FC,VH,5,B,78.5,65,79.0,79,45.7,336,95.4,24,78.3,215.0,100.0,20.0,76.6,40.443322,-79.943583,2019,5.297862534705126,0.3386265776373763,red
47,51,UNIVERSITY OF BRITISH COLUMBIA,Canada,XL,FC,VH,5,A,96.7,29,88.1,51,37.6,408,60.7,150,92.2,150.0,77.7,157.0,75.8,49.264573,-123.250612,2019,5.138355852202676,0.0970745906233448,red
48,47,THE UNIVERSITY OF QUEENSLAND (UQ),Australia,XL,FC,VH,5,A,87.3,48,79.9,76,29.9,501,83.4,55,100.0,35.0,97.6,57.0,75.7,-27.497473,153.01322499999998,2019,5.298016578876265,0.6559308301391429,red
49,46,THE CHINESE UNIVERSITY OF HONG KONG (CUHK),Hong Kong,L,FC,VH,4,A,86.1,52,62.7,117,75.9,171,49.5,239,100.0,52.0,91.2,100.0,75.6,22.418587,114.2081345,2019,4.854194668098956,0.9372355216288468,red
50,1000,PSL UNIVERSITY,France,L,CO,VH,1,A,80.3,62,99.3,15,99.9,24,26.6,464,67.7,254.0,84.2,129.0,75.1,45.9000281,-64.3756148,2019,3.334509900489875,2.413741263603282,red
51,44,UNIVERSITY OF BRISTOL,United Kingdom,L,FC,VH,5,A,75.6,72,89.4,50,75.9,170,63.8,130,84.4,193.0,66.4,212.0,74.9,51.45701725,-2.60406325,2019,5.010625568118866,-0.2793560000999439,red
52,54,DELFT UNIVERSITY OF TECHNOLOGY,Netherlands,L,CO,VH,5,A,69.3,83,83.9,61,48.5,313,90.2,34,98.6,85.0,86.7,121.0,73.3,52.0022175,4.371763,2019,5.14487685740046,0.4831840223914875,red
53,55,UNIVERSITY OF WISCONSIN0MADISON,United States,XL,FC,VH,5,A,88.5,44,51.2,164,87.4,104,52.6,208,58.8,298.0,30.6,424.0,73.2,43.0732435,-89.408095,2019,4.197466375495394,-1.3350201709738674,red
54,57,THE UNIVERSITY OF WARWICK,United Kingdom,L,FC,VH,4,A,73.8,74,96.1,29,62.4,236,56.1,189,98.4,91.0,99.3,37.0,72.9,52.380857,-1.561638,2019,5.0383243273982,1.1771728791506657,red
55,49,CITY UNIVERSITY OF HONG KONG,Hong Kong,M,CO,VH,3,A,55.6,129,39.2,235,90.9,83,88.7,39,100.0,20.0,97.3,62.0,72.1,22.3351853259,114.170459318,2019,4.499047077586543,1.846694080134038,red
56,53,BROWN UNIVERSITY,United States,M,FC,VH,5,B,62.5,104,52.7,156,81.2,143,89.8,35,88.1,176.0,58.3,252.0,72.0,41.82682,-71.402931,2019,4.58321039625141,-0.2272261332805083,red
