Institution,Country,Latitude,Longitude
DANKOOK UNIVERSITY ,South Korea,37.321547,127.1266985
DARTMOUTH COLLEGE,United States,43.70354,-72.2888425
DE LA SALLE UNIVERSITY,Philippines,14.56473,120.993796
DE MONTFORT UNIVERSITY,United Kingdom,52.6303695,-1.1386455
DEAKIN UNIVERSITY,Australia,-37.846971,145.114309
DELFT UNIVERSITY OF TECHNOLOGY,Netherlands,52.0022175,4.371763
DIPONEGORO UNIVERSITY,Indonesia,-7.048721,110.438082
DONETSK NATIONAL UNIVERSITY,Ukraine,48.278326,37.177908
DONGGUK UNIVERSITY,South Korea,37.558227,126.999829
DONGGUK UNIVERSITY ,South Korea,37.558227,126.999829
DOSHISHA UNIVERSITY,Japan,35.0300045,135.760973
DREXEL UNIVERSITY,United States,39.955879,-75.188961
DUBLIN CITY UNIVERSITY (DCU),Ireland,53.385747,-6.258126
DUBLIN INSTITUTE OF TECHNOLOGY (DIT),Ireland,53.35591,-6.256897
DUKE UNIVERSITY,United States,36.001218125,-78.9381035
DURHAM UNIVERSITY,United Kingdom,54.7706375,-1.5738085
E.A.BUKETOV KARAGANDA STATE UNIVERSITY,Kazakhstan,49.83333,73.1658
E.A.BUKETOV KARAGANDA STATE UNIVERSITY ,Kazakhstan,39.960001,-75.200393
EAST CHINA NORMAL UNIVERSITY,China,31.2289065,121.4010935
EAST CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY,China,31.8408885,117.26286
EBERHARD KARLS UNIVERSITÄT TÜBINGEN,Germany,48.530942,9.0477205
ECOLE DES PONTS PARISTECH,France,48.841218,2.5877245
ECOLE NORMALE SUPÉRIEURE DE CACHAN,France,48.788748,2.326632
ECOLE NORMALE SUPÉRIEURE DE LYON,France,45.729566,4.827962
ECOLE NORMALE SUPÉRIEURE DE LYON ,France,50.0673795,19.920792
"ECOLE NORMALE SUPÉRIEURE, PARIS (ENS PARIS)",France,48.84198,2.344598
ECOLE POLYTECHNIQUE,France,46.520378,6.565148
ECOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL),Switzerland,52.527452,13.401992
ECOLE POLYTECHNIQUE PARISTECH,France,48.713224,2.2096435
EDINBURGH NAPIER UNIVERSITY,United Kingdom,55.933638,-3.213665
EDITH COWAN UNIVERSITY (ECU),Australia,-33.367732,115.653393
EINDHOVEN UNIVERSITY OF TECHNOLOGY,Netherlands,51.442164898,5.487164718
EMORY UNIVERSITY,United States,33.76856675,-84.38637825
ENS PARIS-SACLAY,France,48.84198,2.344598
EOTVOS LORAND UNIVERSITY,Hungary,47.4906845,19.058448
ERASMUS UNIVERSITY ROTTERDAM,Netherlands,51.91816,4.526045
ESCP EUROPE,France,48.8645195,2.38084
ESCUELA POLITÉCNICA NACIONAL,Ecuador,-0.210479,-78.488876
ESCUELA SUPERIOR POLITÉCNICA DEL LITORAL - ESPOL,Ecuador,-2.146366,-79.965626
"ESSEC BUSINESS SCHOOL, PARIS",France,49.0334435,2.0775355
ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),Switzerland,46.520378,6.565148
EUROPEAN BUSINESS SCHOOL,Germany,50.011978,8.050514
EWHA WOMANS UNIVERSITY,South Korea,37.559188,126.945498
FAR EASTERN FEDERAL UNIVERSITY,Russia,43.1177777878,131.893055566
FENG CHIA UNIVERSITY,Taiwan,24.1795375,120.6492175
FLINDERS UNIVERSITY,Australia,-35.023065,138.572376
FLORIDA INTERNATIONAL UNIVERSITY,United States,25.7549775,-80.372935
FLORIDA STATE UNIVERSITY,United States,30.4406285,-84.291384
FORDHAM UNIVERSITY,United States,40.861041,-73.88549
FREIE UNIVERSITÄT BERLIN,Germany,52.4536695,13.29132
FU JEN CATHOLIC UNIVERSITY,Taiwan,25.034333,121.433557
FUDAN UNIVERSITY,China,31.298891,121.502119
GAZI ÜNIVERSITESI,Turkey,39.927103,32.81892625
GDANSK UNIVERSITY OF TECHNOLOGY,Poland,54.3714685,18.6190045
GEORG-AUGUST-UNIVERSITÄT GÖTTINGEN,Germany,51.5379655,9.937521
GEORGE MASON UNIVERSITY,United States,38.8310085,-77.307772
GEORGE WASHINGTON UNIVERSITY,United States,38.901261,-77.0506
GEORGETOWN UNIVERSITY,United States,38.907701875,-77.072684
GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),United States,33.7763205,-84.394711
GEORGIA STATE UNIVERSITY,United States,33.7539675,-84.386814
GERMAN JORDANIAN UNIVERSITY,Jordan,32.022,35.873
GIFU UNIVERSITY,Japan,35.4635545,136.737833
GLASGOW CALEDONIAN UNIVERSITY,United Kingdom,55.867066,-4.2503765
"GOLDSMITHS, UNIVERSITY OF LONDON",United Kingdom,51.474853,-0.03717475
"GRENOBLE INP, GRENOBLE INSTITUTE OF TECHNOLOGY",France,45.203003,5.703201
GRIFFITH UNIVERSITY,Australia,-27.549348,153.0593735
GUNMA UNIVERSITY,Japan,36.407175,139.061455
GWANGJU INSTITUTE OF SCIENCE AND TECHNOLOGY (GIST),South Korea,35.226756,126.840281
HACETTEPE UNIVERSITY,Turkey,39.867573,32.734499
HACETTEPE UNIVERSITY ,Turkey,39.867573,32.734499
HALLYM UNIVERSITY,South Korea,37.391832,126.96195
HALLYM UNIVERSITY ,South Korea,37.391832,126.96195
HANYANG UNIVERSITY,South Korea,37.5590125,127.04444425
HARBIN INSTITUTE OF TECHNOLOGY,China,22.589078,113.963239
HARVARD UNIVERSITY,United States,42.3737614375,-71.1181085
HEBREW UNIVERSITY OF JERUSALEM,Israel,31.776654,35.1986715
HEC PARIS,France,48.7571595,2.169608
HERIOT-WATT UNIVERSITY,United Kingdom,55.905496378,-3.318665392
HIROSHIMA UNIVERSITY,Japan,34.400969,132.713078
HITOTSUBASHI UNIVERSITY,Japan,35.707216,139.45988525
HOKKAIDO UNIVERSITY,Japan,43.073199,141.3424105
HOLY SPIRIT UNIVERSITY OF KASLIK,Lebanon,33.9819,35.6187
HONG KONG BAPTIST UNIVERSITY (HKBU),Hong Kong,22.3046025,114.179821
HOWARD UNIVERSITY,United States,38.921405,-77.020477
HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,China,30.582553,114.255227
HUFS – HANKUK (KOREA) UNIVERSITY OF FOREIGN STUDIES,South Korea,37.595718,127.059692
HUMBOLDT-UNIVERSITÄT ZU BERLIN,Germany,52.52186,13.3797865
HUNAN UNIVERSITY,China,28.228782,112.9962825
HUNAN UNIVERSITY ,China,28.228782,112.9962825
IE UNIVERSITY,Spain,40.9530885,-4.1182915
ILLINOIS INSTITUTE OF TECHNOLOGY,United States,41.8348405,-87.627396
IMAM ABDULRAHMAN BIN FAISAL UNIVERSITY (IAU) (FORMERLY UNIVERSITY OF DAMMAM),Saudi Arabia,26.40989425,50.0996635
IMPERIAL COLLEGE LONDON,United Kingdom,51.4985565,-0.1769325
INDIAN INSTITUTE OF SCIENCE (IISC) BANGALORE,India,13.0194445,77.5667375
INDIAN INSTITUTE OF SCIENCE BANGALORE,India,13.0194445,77.5667375
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB),India,19.133772,72.9150845
INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD),India,26.1900805,91.691911
INDIAN INSTITUTE OF TECHNOLOGY GUWAHATI (IITG),India,26.1900805,91.691911
INDIAN INSTITUTE OF TECHNOLOGY KANPUR (IITK),India,26.507602,80.226508
INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR (IITKGP),India,22.317843,87.308865
INDIAN INSTITUTE OF TECHNOLOGY MADRAS (IITM),India,12.994502,80.23696
INDIAN INSTITUTE OF TECHNOLOGY ROORKEE (IITR),India,29.862374,77.894583
INDIANA UNIVERSITY BLOOMINGTON,United States,39.16719,-86.520913
INDIANA UNIVERSITY-PURDUE UNIVERSITY INDIANAPOLIS,United States,39.77554225,-86.17462225
INHA UNIVERSITY,South Korea,37.449999,126.656956
INSEAD (FRANCE),France,48.405608,2.685085
INSTITUT NATIONAL DES SCIENCES APPLIQUÉES DE LYON (INSA),France,45.7825575,4.8724655
INSTITUTO POLITÉCNICO NACIONAL (IPN),Mexico,21.014691,-101.503426
INSTITUTO TECNOLÓGICO AUTONOMO DE MÉXICO (ITAM),Mexico,19.3448635,-99.199948
INSTITUTO TECNOLÓGICO DE BUENOS AIRES (ITBA),Argentina,-34.603039,-58.367632
INTERNATIONAL ISLAMIC UNIVERSITY MALAYSIA (IIUM),Malaysia,3.250806,101.733462
IOWA STATE UNIVERSITY,United States,42.026508,-93.64733
IRAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,Iran,35.742436,51.502219
ISTANBUL TECHNICAL UNIVERSITY,Turkey,35.119097,33.942284
ISTANBUL UNIVERSITY,Turkey,41.014133,28.962753
ITMO UNIVERSITY,Russia,59.9564,30.31
JADAVPUR UNIVERSITY,India,22.495929,88.370892
JAGIELLONIAN UNIVERSITY,Poland,50.06129775,19.933009
JAMES COOK UNIVERSITY (JCU),Australia,-19.328,146.757
"JAMIA MILLIA ISLAMIA, NEW DELHI",India,28.561307,77.2832785
JAWAHARLAL NEHRU UNIVERSITY,India,28.545669,77.1692105
JILIN UNIVERSITY,China,43.824591,125.276124
JOHANNES GUTENBERG UNIVERSITÄT MAINZ,Germany,49.99277,8.2393545
JOHANNES KEPLER UNIVERSITÄT LINZ (JKU),Austria,48.336651,14.320349
JOHNS HOPKINS UNIVERSITY,United States,39.3289375,-76.6204945
JORDAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,Jordan,32.4879635,35.9867325
JULIUS-MAXIMILIANS-UNIVERSITÄT WÜRZBURG,Germany,49.7880715,9.9352785
JUSTUS-LIEBIG-UNIVERSITÄT GIESSEN,Germany,50.578491,8.6850235
KAGOSHIMA UNIVERSITY,Japan,31.569932,130.545582
KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,South Korea,36.372092,127.360296
KANAZAWA UNIVERSITY,Japan,36.551433,136.69251975
KANSAS STATE UNIVERSITY,United States,39.1901195,-96.580648
KANSAS STATE UNIVERSITY ,United States,39.1901195,-96.580648
KAOHSIUNG MEDICAL UNIVERSITY,Taiwan,22.6211935,120.2663235
KARAGANDA STATE TECHNICAL UNIVERSITY,Kazakhstan,49.93333,73.2658
KARL-FRANZENS-UNIVERSITÄT GRAZ,Austria,47.07337425,15.44966475
KAROLINSKA INSTITUTE,Sweden,59.348569,18.025933
KASETSART UNIVERSITY,Thailand,13.8517445,100.5677025
KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,50.8733765065,4.70038386512
KATHOLIEKE UNIVERSITEIT LEUVEN ,Belgium,55.787603,49.122207
KAUNAS UNIVERSITY OF TECHNOLOGY,Lithuania,54.89249643,23.907329704
KAZAKH ABLAI KHAN UNIVERSITY OF INTERNATIONAL RELATIONS AND WORLD LANGUAGES,Kazakhstan,43.318949,76.769709
KAZAKH NATIONAL AGRARIAN UNIVERSITY,Kazakhstan,43.2419,76.9519
KAZAKH NATIONAL PEDAGOGICAL UNIVERSITY ABAI,Kazakhstan,43.2775,76.895833
KAZAKH NATIONAL TECHNICAL UNIVERSITY AFTER K.I.SATPAYEV,Kazakhstan,43.158949,76.679709
KAZAKH NATIONAL TECHNICAL UNIVERSITY AFTER K.I.SATPAYEV    ,Kazakhstan,37.959812,-121.292536
KAZAKH-BRITISH TECHNICAL UNIVERSITY,Kazakhstan,43.4775,76.795433
KAZAN FEDERAL UNIVERSITY,Russia,55.7907083433,49.1219333433
KEELE UNIVERSITY,United Kingdom,53.002291,-2.2723885
KEELE UNIVERSITY ,United Kingdom,53.002291,-2.2723885
KEIO UNIVERSITY,Japan,35.388063,139.425487
KENT STATE UNIVERSITY,United States,41.145643,-81.3415995
KHALIFA UNIVERSITY,United Arab Emirates,24.447017,54.394438
KHAZAR UNIVERSITY,Azerbaijan,40.414854,49.837092
KHON KAEN UNIVERSITY,Thailand,17.802659,102.747855
KING ABDUL AZIZ UNIVERSITY (KAU),Saudi Arabia,21.489664708,39.250165666
KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY (KAUST),Saudi Arabia,22.310040692344,39.1044824232869
KING FAHD UNIVERSITY OF PETROLEUM & MINERALS (KFUPM),Saudi Arabia,26.31044325,50.14701575
KING FAISAL UNIVERSITY,Saudi Arabia,25.931997,49.64449
KING KHALID UNIVERSITY,Saudi Arabia,24.713405,46.621625
KING MONGKUT'S UNIVERSITY OF TECHNOLOGY THONBURI,Thailand,13.650835,100.491948
KING MONGKUT'S UNIVERSITY OF TECHNOLOGY THONBURI ,Thailand,13.650835,100.491948
KING SAUD UNIVERSITY (KSU),Saudi Arabia,24.7255265,46.624655
KING'S COLLEGE LONDON (KCL),United Kingdom,51.42141,-0.225741
"KINGSTON UNIVERSITY, LONDON",United Kingdom,51.402905,-0.303256
"KIT, KARLSRUHER INSTITUT FÜR TECHNOLOGIE",Germany,49.009444,8.411667
KOBE UNIVERSITY,Japan,34.728202,135.234463
KONKUK UNIVERSITY,South Korea,37.541838,127.078139
KONKUK UNIVERSITY ,South Korea,37.541838,127.078139
KOREA UNIVERSITY,South Korea,37.588049,127.030937
KOÇ UNIVERSITY,Turkey,41.204971,29.073573
KOÇ UNIVERSITY ,Turkey,41.204971,29.073573
"KTH, ROYAL INSTITUTE OF TECHNOLOGY",Sweden,59.3464415,18.07222775
KUMAMOTO UNIVERSITY,Japan,32.81362,130.72774
KUWAIT UNIVERSITY,Kuwait,29.339734,47.916311
KYOTO INSTITUTE OF TECHNOLOGY,Japan,35.049547,135.781965
KYOTO UNIVERSITY,Japan,35.0300045,135.760973
KYUNG HEE UNIVERSITY,South Korea,37.650028,127.238968
KYUNGPOOK NATIONAL UNIVERSITY,South Korea,35.8909105,128.6112765
KYUSHU INSTITUTE OF TECHNOLOGY,Japan,33.89449,130.8394785
KYUSHU INSTITUTE OF TECHNOLOGY ,Japan,33.89449,130.8394785
KYUSHU UNIVERSITY,Japan,33.595327,130.217278
L.N. GUMILYOV EURASIAN NATIONAL UNIVERSITY,Kazakhstan,51.160245,71.464825
L.N. GUMILYOV EURASIAN NATIONAL UNIVERSITY ,Kazakhstan,32.8488140522523,-96.9376481465475
LA TROBE UNIVERSITY,Australia,-37.7212385,145.0482135
